City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Arraial Do Cabo,BR,75.16,light rain,-22.9661,-42.0278,Pousada Porto Praia
235,Ngaoundere,CM,75.88,scattered clouds,7.3167,13.5833,Hotel Mentong Palace
237,Caravelas,BR,81.25,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
246,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
249,Suriapet,IN,75.79,overcast clouds,17.15,79.6167,MNR Lodge and Restaurant
252,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
253,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
261,Bac Lieu,VN,80.67,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
269,Esteli,NI,72.7,overcast clouds,13.0919,-86.3538,Friends & Family
273,Nahariyya,IL,78.71,broken clouds,33.0059,35.0941,Shtarkman Erna Hotel
274,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
277,Maldonado,UY,72.79,broken clouds,-34.6667,-54.9167,La Cimarrona
284,Saint George,US,70.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
285,George,ZA,74.75,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
286,Balikpapan,ID,76.55,broken clouds,-1.2675,116.8289,ibis Balikpapan
287,Inhambane,MZ,71.65,scattered clouds,-23.865,35.3833,Oceano
289,Sola,VU,80.24,scattered clouds,-13.8833,167.55,Leumerus Bungalows
290,Mackay,AU,75.69,few clouds,-21.15,149.2,International Lodge Motel
295,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
296,Elat,IL,78.96,broken clouds,29.5581,34.9482,Club Hotel Eilat
297,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
298,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
301,Ishigaki,JP,76.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
303,Banda Aceh,ID,79.25,overcast clouds,5.5577,95.3222,Sulthan Hotel International
308,Ca Mau,VN,77.18,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
